Timestamp,Which of the following best describes your area of expertise?,"How would you rate your level of expertise in the field of Machine Learning?
",Have you ever loaded a pre-trained machine learning model onto your system or computer that was shared by someone else or downloaded from the internet?,"Given this snippet of code, how comfortable would you feel when loading the shared model? ","If you feel that the previous situation raises any concerns, which one(s)?","Given this snippet of code, how comfortable would you feel when loading the shared model? ","If you feel that the previous situation raises any concerns, which one(s)?","Given this snippet of code, how comfortable would you feel when loading the shared model? ","If you feel that the previous situation raises any concerns, which one(s)?","Given this snippet of code, how comfortable would you feel when loading the shared model? 

Note: This question also includes the process of importing the model definition or code provided by the same source from which you downloaded the model weights.","If you feel that the previous situation raises any concerns, which one(s)?","Have you ever inspected a shared model file before loading it?

This means performing actions such as unzipping the file (if required by the format), understanding the files it contains, reviewing their contents, and evaluating the internals of the model before loading it into your system.","Knowing that platforms like Hugging Face provide security tools for their repositories, including malware scanning, pickle scanning, secrets scanning, and third-party AI model scanners such as JFrog and Protect AI—if the shared model you were to load was downloaded from such platforms, would your perception of comfort in doing so change?","If you feel that the previous situation raises any concerns, which one(s)?"
7/4/2025 17:55:52,Machine Learning / Artificial Intelligence,4,Yes,9,Challenging to ensure ethical AI compliance,10,Challenging to ensure ethical AI compliance,10,Challenging to ensure ethical AI compliance,7,Manipulated training process,No,I would feel more comfortable loading the model,Challenging to ensure ethical AI compliance
7/4/2025 18:01:31,Machine Learning / Artificial Intelligence,4,Yes,4,Arbitrary code execution,8,,5,Arbitrary code execution,9,,Yes,I would feel more comfortable loading the model,
7/4/2025 18:02:26,Cybersecurity,3,Yes,2,Arbitrary code execution,7,"Poor performance, Manipulated training process",3,Arbitrary code execution,3,Arbitrary code execution,Yes,I would feel more comfortable loading the model,"Manipulated training process, Licensing, Challenging to ensure ethical AI compliance"
7/4/2025 18:02:32,HPC and FPGA acceleration,2,Yes,5,Arbitrary code execution,10,,8,Arbitrary code execution,10,,No,I would feel more comfortable loading the model,
7/4/2025 18:02:37,Machine Learning / Artificial Intelligence,3,Yes,8,"Arbitrary code execution, Challenging to ensure ethical AI compliance",9,"Poor performance, Licensing",8,"Arbitrary code execution, Challenging to ensure ethical AI compliance",9,"Poor performance, Licensing",No,It would not affect my perception,"Manipulated training process, Licensing, Challenging to ensure ethical AI compliance"
7/4/2025 18:12:40,Machine Learning / Artificial Intelligence,4,Yes,8,Source of the model,8,source of the model,6,May not load correctly under different hardware architecture,9,,Yes,I would feel more comfortable loading the model,
7/4/2025 18:13:27,Software Engineering,3,Yes,3,Arbitrary code execution,10,,10,,3,Arbitrary code execution,No,I would feel more comfortable loading the model,
7/4/2025 18:18:10,Cybersecurity,4,Yes,3,"Manipulated training process, Arbitrary code execution",5,Manipulated training process,7,"Poor performance, Manipulated training process",7,"Poor performance, Manipulated training process",No,I would feel more comfortable loading the model,"Poor performance, Manipulated training process"
7/4/2025 18:26:57,Software Engineering,2,No,3,"Poor performance, Manipulated training process, Arbitrary code execution, Licensing",8,"Poor performance, Manipulated training process",4,"Poor performance, Manipulated training process, Arbitrary code execution",6,Manipulated training process,No,I would feel more comfortable loading the model,
7/4/2025 18:28:40,Machine Learning / Artificial Intelligence,5,Yes,6,Arbitrary code execution,8,Licensing,5,Arbitrary code execution,9,Licensing,No,I would feel more comfortable loading the model,Licensing
7/4/2025 18:38:56,Cybersecurity,3,Yes,10,,10,"Poor performance, Challenging to ensure ethical AI compliance",10,Manipulated training process,10,,No,I would feel more comfortable loading the model,
7/4/2025 19:16:05,Machine Learning / Artificial Intelligence,4,Yes,1,"Poor performance, Manipulated training process, Challenging to ensure ethical AI compliance",2,Manipulated training process,1,Manipulated training process,1,Manipulated training process,No,It would not affect my perception,Manipulated training process
7/4/2025 20:37:36,Software Engineering,3,Yes,2,Arbitrary code execution,8,"Manipulated training process, Licensing, Challenging to ensure ethical AI compliance",8,"Poor performance, Manipulated training process, Licensing",7,"Manipulated training process, Arbitrary code execution, Licensing",No,I would feel more comfortable loading the model,Licensing
7/4/2025 21:56:08,Cybersecurity,3,Yes,8,"Poor performance, Arbitrary code execution",9,"Poor performance, Arbitrary code execution",9,Poor performance,10,,Yes,I would feel more comfortable loading the model,
7/5/2025 10:05:42,Machine Learning / Artificial Intelligence,3,No,4,"Poor performance, Manipulated training process",8,Poor performance,10,,10,,No,I would feel less comfortable loading the model,
